Project ID,Project Name,Project type,Project website,Area of Society,DSI Areas,Social Impact,Technology Focus,Technology method,Timestamp ID,Date and Time
44f1517f-666f-e195-f8ac-13e5f0f68ac9,collider,education and training,,"work and employment, education and skills",open access,change of peoples attitude,"open knowledge, open networks",online learning models and moocs,b3cd693d-b9ee-cc9c-6197-8aac9e3d82d8,12/1/2015
d1863f09-393b-872f-23fa-7464a847f538,CAMP (Communication and Media Production),research project,,"science, participation and democracy, culture and arts, education and skills","awareness networks, new ways of making, open access",Interaction between art and technology,"open networks, open knowledge, open data","sensors and internet of things, social networks, telepresence, mobile apps, crowdmapping, social media",56a2e6f0-0f29-90cf-23e5-95542ce00255,
f3941c1e-4ce9-5365-338c-c0be556dead0,FryskLab LOD Knowledge Base,research project,,"science, education and skills","new ways of making, awareness networks, open access",The developed datamodel can be used by other FabLabs so structured information can be shared.,open data,"3d printing, digital fabrication",4934b307-132e-16d5-03c3-a2b815bff22a,12/1/2016
cf163100-3559-7101-1c53-001cb578993e,Raise Your Maker,education and training,www.schoolraising.it,"crowdfunding, 3d print, innovation, schools, education and skills",new ways of making,"Raise your maker aims to:
-->collect the best ideas from italian students concerning the use of a 3D printer inside the school
-->create a connection between the communities of italian makers and students
-->Select and publishing the best ideas on schoolraising.it and collecting money with crowdfunding 
-->reward the most innovative ideas","open hardware, open knowledge","crowdsourcing, crowdfunding, 3d printing",ecd0f46c-b690-d26c-cd50-f8d223145618,1/1/2015
2a63d46c-fc59-10b5-a10b-623cb3a6347b,MappiNa Alternative Map of Cities,maker and hacker spaces,,"participation and democracy, education and skills, culture and arts, neighbourhood regeneration","new ways of making, open democracy, awareness networks, collaborative economy","re-appropriation of tangible and intangible resources from citizens, storytelling the city","open data, open knowledge","crowdmapping, mobile apps, social media, open data, sensors and internet of things, crowdsourcing, social networks",558d2347-9878-4193-90a6-15cd2db36ae4,
e494093b-6fd8-3bca-0fcf-c92864ffe6cf,B. 2025,maker and hacker spaces,,"social entrepreneurship, real estate, social interaction","new ways of making, collaborative economy, open democracy, funding acceleration and incubation",Creating a cluster for Social Economy in the Paris area.,open hardware,"social media, social networks, 3d printing",6c988ef3-cb87-6ec6-24ab-3bed51a0b40f,
6a6ba9f0-0495-3d40-0385-30f4c7723509,Dialogue Cafe Amsterdam,event,dialogue-cafe-amsterdam,"culture and arts, education and skills",collaborative economy,"Dialogue Cafe is based on the radical but simple idea that people have many things in common and given the opportunity, they will explore their common interests, sparking collaborations and stimulating ideas that address the major issues of today. These kinds of conversations and collaborations can lead to new ways of thinking and doing: they can empower individuals and communities, break down prejudice and misconceptions and promote greater understanding and co-operation across cultures.",open knowledge,"crowdsourcing, social networks, social media",1404ba18-fa04-5e3f-4d4c-70673519bc64,12/1/2015
1ce04db5-6a20-58be-0dc3-2e6b00a2bf6f,Co-Working,network,,"finance and economy, neighbourhood regeneration, education and skills, science, health and wellbeing, participation and democracy, culture and arts, work and employment, energy and environment",funding acceleration and incubation,,open networks,"online notice board, online learning models and moocs, online peer support, social networks, social media",77175463-2b5e-cd1d-6443-7be9ba714e70,
1ccae089-27e3-8dec-0a09-3e1f43c6f669,Fab Lab Leon,maker and hacker spaces,www.fablableon.org,"education and skills, work and employment, finance and economy","new ways of making, funding acceleration and incubation, collaborative economy, open access","We are seek to foster entrepreneurship, leadership, interest in science & technology. 

We want to develop peoples skills, specially among young people and small business, to help reverse the historical trend of declining local population because of lack of opportunities in the area.","open knowledge, open hardware","open source, 3d printing, machine learning, sensors and internet of things",62c37110-a78f-9c7f-6ce2-4fb39b0d305b,
cfaeee05-6588-0d50-7133-d080b989a474,"Design global, manufacture local ",research project,611,"finance and economy, energy and environment, participation and democracy","open access, collaborative economy, new ways of making","The hypothetical productive model epitomized by the idea design globalmanufacture local can arguably be considered a working alternative which might perform better than the current unsustainable dominant value model while solving a number of systemic problems. Peer production should be seen as a social advancement within the dominant political economy but with various post-capitalistic aspects in need of protection, enforcement, stimulation and connection with progressive social movements.","open data, open hardware, open knowledge, open networks","open data, open source, 3d printing, p2p   distributed exchange networks, sensors and internet of things, social networks",adffe8ba-96c6-3227-fae2-830c6e5ffbca,
aeef5cbc-5019-c7f2-786e-3bd413958c25,Numbers That Matter,research project,,"health and wellbeing, education and skills, culture and arts","open access, new ways of making",Create understanding of data that enables people to act.,"open data, open hardware","open data, sensors and internet of things",fd75041c-304a-ef05-a2e7-cf07a8e70cd5,5/1/2013
f995d027-9bd9-b970-cfb4-e1cf5da2df61,ECLECTIS,incubators and accelerators,eclectis,"science, culture and arts, health and wellbeing, energy and environment, education and skills","new ways of making, awareness networks","The project focuses on European diversity, intercultural dialogue and new technologies as sources to stimulate creativity and new practices.",open knowledge,"mobile apps, social media, social networks",5204b01a-a3f9-e8ab-67f1-e6e580598184,12/1/2014
9d3c8dc1-0c9f-fcfe-ae06-4dfdf97bdbbb,TEN - The European Network,network,,"work and employment, finance and economy, culture and arts, participation and democracy","awareness networks, open democracy",TEN contributes to the construction of European citizenship through the invention of a citizens' Europe. ,open knowledge,"crowdsourcing, p2p   distributed exchange networks, big data",22bf8d06-0043-801f-049b-528486937a52,
3b13269d-caaf-5f04-2054-20193ec40b3f,Voluntary Community and Social Enterprise Review,advisory or expert body,,health and wellbeing,"collaborative economy, new ways of making, awareness networks, open democracy","The review will make recommendations about maximising the value of the central grant programme. It will also consider the impact of cross-government spending on the VCSE health and care sector and on local relationships between VCSE organisations and Clinical Commissioning Groups, Health and Wellbeing Boards, councils and other statutory bodies.
 
The review will consider the broader social, economic and political context in which the VCSE now operates, taking account of the current state of the sector, the impact of austerity and other relevant factors.  ","open knowledge, open data, open networks","online notice board, social networks, online peer support",67877122-344d-7fd8-638e-de482edee513,
a811a60e-20d3-daa2-fc00-75a9180fa7ba,Bio FabLab,maker and hacker spaces,,"energy and environment, education and skills, science, work and employment","new ways of making, collaborative economy",Make  diybio project for social Impact ,open hardware,"open source, 3d printing, social networks",85518732-4017-c0aa-6dd0-122bc4050cd5,
af75f5e5-d43d-c963-ea90-88927ac84663,CultureShift Russia: Art Lab,event,,"culture and arts, education and skills","new ways of making, open access",Deep engagement in technology by the traditional and established arts sector in Russia. ,open data,"online peer support, big data, crowdmapping, social media, 3d printing, online market place, geotagging, mobile apps, open data, open source, social networks",9b5bcf63-b938-641f-3582-1b42607fde61,10/1/2013
6387cfa4-7380-7696-0493-9b55d928459d,Hub Vilnius coworking ,incubators and accelerators,www.hubvilnius.lt,"work and employment, social innovations","collaborative economy, funding acceleration and incubation",new social enterprises and for pofit startups have been set up,"open knowledge, open networks","crowdsourcing, coworking, sharing",ce06606a-8877-479b-e1ae-e4fcd5cb84fe,
29c5e7e7-cb64-170a-4b74-d4c5cf86b435,Ecomap,delivering a web service,ekovizija.ba,global,collaborative economy,"Project Ekovizija uses capabilities of modern technologies and strong impact of social networking to encourage
and empower people to go from passive observers to active participants of environment protection by giving them hustle
free tool to report and react, and to raise the visibility of ecological issues in local communities by centralizing them in one place,identified with the description and location (coordinates), and displayed on the map for anyone to see and react.

Our first goal is to empower people to actively participate in reporting and resolving ecological issues in their local communities and to share positive stories about individuals and organizations involved in resolving ecology problems.

In order to accomplish this goal we have to create a hustle free tool for people to use for reporting and centralized location for reported issues to be stored and displayed for everyone to see and react.

We believe that our project has much larger prospect beyond this, and that it will grow into network which will include not only individuals and NGOs but also municipal and governmental bodies, schools etc. Also, since it deals with issues that are global, we believe that it has potential to easily spread outside country borders and become global.

This project will give people opportunity to get involved. At the same time their involvement will leverage visibility of these issues and put public pressure on perpetrators through social network. This should result in significant reduction of number of actions that are harmful for the environment and in increase of positive actions done by individuals and organizations.

 ","open data, open networks","big data, social networks, open data, mobile apps",46ed8c53-ec39-51b9-fd1c-d51a8788209c,8/1/2016
ac34cd65-ec77-3ace-05ab-79cbb526e7c5,Investment and support for social technology start-ups,incubators and accelerators,apply,"health, education, ageing, sustainability",funding acceleration and incubation,We look to support start-ups who want to have a substantial and meaningful positive impact on society and encourage all of the teams to establish relevant metrics and measure their impact systematically. ,"open networks, open hardware, open data","sensors and internet of things, social networks, open source, crowdfunding, mobile apps, big data, online market place, online learning models and moocs, geotagging",51905289-6b7c-d7ad-23b6-516b878c116d,
3f9c72cb-8050-eb3c-4bb8-ab623a0ded27,mindhoven platform,incubators and accelerators,www.mindhoven.nl,"health and wellbeing, participation and democracy, work and employment","awareness networks, open democracy, new ways of making",We are trying to become an ecosystem for innovation.,"open knowledge, open networks, open data","social networks, social media, crowdfunding, open data",5fb5d7a1-43b4-85d8-6e52-84086dc8cddd,
bf37ed29-5eb5-3f1c-ea13-818bc68a28ca,netivist,delivering a web service,www.netivist.org,participation and democracy,open democracy,"netivist is a socially responsible organisation that seeks to empower people by providing a single platform where users can vote, debate, and organise petitions and campaigns on diverse areas (politics, entertainment, lifestyle, consumers, and sports). There are more than 220 ongoing debates on the website. With netivist we want to promote civic engagement and explore alternative ways of public deliberation. Our goal is to become a point of reference for people, media and decision-makers. netivist is independent and completely advertisement free.
",open networks,"mobile apps, big data, e petitions, social networks",a22a54a3-9a7c-9e96-eec1-9a61715ebd29,
a0669e35-5cac-bd2b-46a4-9638e4bc9eae,KiiCS,incubators and accelerators,,"culture and arts, science, education and skills","collaborative economy, new ways of making","KiiCS wants to bring science closer to society, especially young people, by promoting the creative character of science and underlining its practical applications on health, environment and any other aspect of daily life. The project will also connect the best innovative ideas with companies and potential investors.",open knowledge,"machine learning, 3d printing",1e1e95c6-b33b-cf67-a68a-8ce0e798ea89,2/1/2015
7334b3e5-0c6b-eb1b-2c88-0691a91b42de,Open Bidouille Camp,education and training,lille.openbidouille.net,"neighbourhood regeneration, education and skills, energy and environment, health and wellbeing","open democracy, awareness networks",-,"open knowledge, open hardware","3d printing, maker, hacker, crowdsourcing",e1f9da1a-4005-2f28-b09d-e7df46f35356,
0e137a80-eb71-904b-a47b-47eb80e356cc,ethicalBay,delivering a web service,www.ethicalbay.coop,"work and employment, participation and democracy, finance and economy, fairtrade","open democracy, collaborative economy, awareness networks, new ways of making, open access","Opening markets to smallscale producers in global south, facilitating growth of sustainable and ethical culture by creating network of producers and consumers committed to trade justice and community and environmental resilience.",open networks,"social media, geotagging, social networks, sensors and internet of things, crowdsourcing, p2p   distributed exchange networks, mobile apps, crowdfunding, online market place",12204ace-8c4f-4010-5bd6-426021558484,
b56324ce-b146-b109-95dd-33c3fc26676a,FabLab development,maker and hacker spaces,,"neighbourhood regeneration, work and employment, participation and democracy, community, manufacturing",new ways of making,Development of community-centered places for digital fabrication and collaboration.,"open knowledge, open data, open networks, open hardware","sensors and internet of things, digital fabrication, social networks, 3d printing, open source",a18a8fea-4402-cf88-4aa5-9c334a53c35b,
e8b232f2-103b-ae38-2894-04c4ab314ace,Active Democracies,education and training,activedemocraci.es,"collective intelligence, urbanistic problems, communities, local democracy, neighbourhood, participation and democracy","awareness networks, open democracy, new ways of making","Supports communities and government partners to build new trusted, grounded models for democratic renewal, collaboration and engagement.","open networks, open knowledge","online peer support, open data, crowdsourcing",eefd2957-a632-f788-f1cb-4872e91d5402,
7639cda7-5542-29bd-a7fd-32c0badb82e6,SafetyNets,delivering a web service,reasondigital.com,"safety, vulnerable women, health and wellbeing","open democracy, awareness networks","Empowerment of vulnerable communities.

Saving the health and justice sectors money through helping to prevent violent crime and the spread of sexually-transmitted infections and unwanted pregnancy.",open networks,"mobile apps, geotagging, online peer support",4674fce9-40e4-b2ea-8a48-86ff36877b58,
168f658b-d09d-27ea-19cf-4282263175b9,Social innovation research,education and training,,"education and skills, neighbourhood regeneration, participation and democracy","collaborative economy, new ways of making","As a network and education hub we run design-led projects with communities of practice and public institutions. 
This could lead to a creation of a service, product, space or towards organisational change. ","open networks, open knowledge","p2p   distributed exchange networks, online peer support, social networks",de7acb8b-e298-0ecc-012c-67652d6bc173,
085aef39-e7f6-f1d5-84da-589d134ebf77,Digital Ethnography Research Centre Europe,network,,"culture and arts, participation and democracy, neighbourhood regeneration, health and wellbeing",open democracy,"Providing a nuanced understanding of how people experience the digital, including issues of participation and citizenship.","open hardware, open data, open networks, open knowledge","open data, social networks, social media, mobile apps, online learning models and moocs, p2p   distributed exchange networks",0f147cb2-8468-e243-dff3-cbfa9efe11b6,
56d78b68-570c-b4ef-f605-fab53dce3660,engage.re,delivering a web service,www.engage.re,"participation and democracy, education and skills, collaboration, social impact and evaluation, social innovations, social change, social ict","collaborative economy, awareness networks","We are essentially creating a tool which will enable volunteers and change makers at large to create social impact. We're designing project management tools and metrics which will allow to measure impact more effectively: what's been done, to what extent the targets were met and what else needs doing. ","open knowledge, open networks, open data","open data, crowdfunding, crowdmapping, social networks",c4ba9246-6330-e83b-28f8-6e7f1bf33ffd,
3b620087-1b9d-ebf0-f52a-22dc559035f3,adf,advisory or expert body,www.google.nl,"neighbourhood regeneration, finance and economy",collaborative economy,234,open networks,"online market place, personal monitoring",9f4679de-e3b3-673b-f4ed-daf2356969c2,9/1/2014
9a1bc867-25ea-5bfe-54a2-7747da1bf2bb,Crowdsourcing good Math exercises,delivering a web service,www.matemaatik.ee,"teaching, education and skills","collaborative economy, open access",Saving up to 50% of the teachers' time preparing for class. The first few tests have shown results that confirm it is a realistic target.,open knowledge,crowdsourcing,75e27f49-7cdd-174f-daa0-39c871c01123,9/1/2014
d8afd3f9-e09a-b3db-7f88-5604178dbac0,The Sponge Media Lab,network,www.thesponge.eu,"science, education and skills, journalism, culture and arts, participation and democracy","open access, open democracy, awareness networks, new ways of making","we want The Sponge to become a decentralized network of laboratories and nodes in Europe
","open hardware, open data, open knowledge, open networks",hacking   online and offline,41379bf9-5167-afac-80ce-d327d24e516d,
5d63ca8a-47a3-e045-e248-18bb69eae921,Volunteer Passport,delivering a web service,,"education and skills, work and employment, neighbourhood regeneration, participation and democracy, health and wellbeing","open democracy, collaborative economy",The idea for the Volunteer passport is that the Volunteers have a on-going record of participation in the community. This record will translate into something a value when presented to prospective employers.  ,open networks,"geotagging, mobile apps, crowdmapping, big data, personal monitoring, social media, open source, social networks",17895941-1f1e-b5b2-e97f-989079d2e8ba,
2c03e11a-2752-8ac2-8c2d-66c3e7c5cb13,Open Source Electronic Democracy,delivering a web service,www.yrpri.org,participation and democracy,open democracy,In Reykjavik alone with our Better Reykjavik website over 70.000 people have participated with over 11.000 users. The service in Reykjavik has been running since 2010 and hundreds of ideas from the public has already been implemented by the city of Reykjavik.,"open knowledge, open networks, open data","crowdsourcing, debate, social media, e petitions",7502d0b1-e913-8525-5cb7-448a6d4b1e26,12/1/2024
6b802e68-a288-d9c6-cd3a-52fb1caa53c4,Webliteracy NL,education and training,www.webliteracy.nl,education and skills,"new ways of making, awareness networks","Raising the awareness among children, parents and teachers of the importance of developing digital literacies",open knowledge,"coding, sole, vr",4a4b3d19-ebfd-3bb8-6995-3ffaf54b66d0,
6900e69e-7551-396b-7fd2-6cb77a87f499,"Unlike Us, network for alternatives in social media",network,,"participation and democracy, culture and arts","open democracy, open access, collaborative economy","Hard to measure and say ourselves, maybe a case study could look into that.",open networks,"social networks, social media",49a31f5d-8629-3677-a4af-fdae17802347,
e889fbe7-57ce-5f27-943e-d6ea49042eeb,Crowd-sourcing  ,advocating and campaigning,,,"collaborative economy, open access",,open knowledge,,01b49855-ac59-8455-76cd-dc819928ecac,
5b7d2ed0-f419-4fd6-a03c-fe729a93ebd6,Social Innovation Tv,network,social-innovation,"non profit, partecipation and democracy, social innovations, makers, ideas makers, culture","new ways of making, collaborative economy",Information and participating news,open knowledge,online community,96a5f230-cbbf-2255-c3ab-cc19a82579e2,
66321670-0ebb-70b9-4628-7d68cedcb740,Chameleon,network,www.lizardeals.com,"neighbourhood regeneration, commercial advantages socialization, app based business development, gps business services","awareness networks, collaborative economy, funding acceleration and incubation",We want to create a new economic environment where sellers and clients can share their espective interests and empower their commercial and purchasing power.,open networks,"crowdfunding, online market place, geotagging, crowdmapping, social networks, mobile apps",65bdf6b8-6ffe-13d0-06b1-b58a832fc149,
3c8961f7-dd60-ac84-02f0-16d00470c797,Social innovation labs in a rural area,advocating and campaigning,,"health and wellbeing, culture and arts","collaborative economy, open access", planning stages only yet,"open data, open knowledge","social networks, geotagging, online learning models and moocs",add396ab-ff36-67cd-1294-9116e80096d2,
8d2fa46d-7150-501b-1a4a-ea1d040f12e6,Open Garden,delivering a web service,opengarden.com,"energy and environment, education and skills, science, health and wellbeing, work and employment, finance and economy, culture and arts",collaborative economy,"To make the Internet better, faster and more reliable  for everyone.",open networks,vpn,894f5bf6-c0ed-151f-b4a1-9f3a1272c3b9,
f23fe13a-3e8a-a6a6-b393-97d5be80b67f,CitySDK,delivering a web service,www.citysdk.eu,"finance and economy, participation and democracy, culture and arts","open access, awareness networks",Enabling applications and services to be built across the EU,open data,"open data, open source",d98d247e-0ef2-113d-48af-bcd40dc0d944,6/1/2014
1f047255-355d-84d3-093e-75943c73d607,Obesity Learning Centre,education and training,www.obesitylearningcentre.org.uk,health and wellbeing,"open access, new ways of making, open democracy, awareness networks","The OLC has been developed to support people who work, either directly or indirectly, on promoting a healthy weight
and tackling obesity.  It aims to work with governments in reaching targets in reducing overweight and obesity, improve people's health and wellbeing and prevent disease.",open knowledge,"dissemination methods, geotagging, social networks, online learning models and moocs, online peer support",b89b1cdb-6eaf-ce01-ea16-29abadab1a6d,
51f50eb1-8784-c759-2256-d62abdc60376,Bike Sharing Napoli,research project,www.bikesharingnapoli.it,"mobile apps, education and skills, participation and democracy, sustainable development, sustainable tourism, energy and environment, health and wellbeing","collaborative economy, new ways of making, open access","Napoli was not a bike friendly city. Thank to our research project, 14ooo people start to understand the meaning of ""sharing"" and use a bike.
It's about cultural impact, but not only. Bike Sharing Napoli demonstrates increased connectivity of a community, positive health and exercise benefits, increased livability, and a way to increase transportation. The environmental effect of bikesharing demonstrates that cycling is the most efficient mode of transit and that bikesharing reduces our dependency on cars and fossil fuels. The economic impact demonstrates that bikesharing generates individual gas and parking savings while stimulating new kind of tourism, local retail and commerce in a community. ",open networks,"mobile apps, social media, social networks, geotagging, sensors and internet of things, crowdsourcing, crowdfunding, personal monitoring",496a2e7b-8032-10d0-3fcb-a9e67d3c057b,
079d2dee-ad10-f1c6-66cf-d19cc38aa27f,Yahora,education and training,www.yahora.info,"education and kills, work and employment",open access,By 14th octoberm We already have 2200 participantes. MOOC starts in January.,open knowledge,online learning models and moocs,9320178b-41c9-9edb-c5c1-0bb48deb19f2,
4c03938d-43a6-31b6-32c0-7ea0ec630f2e,Selling ethical fashion from small companies,delivering a web service,,fashion and apparel,awareness networks,not known yet,open hardware,webshop,37ccb2e4-125b-eddc-d208-2e1270cd8568,
6df67a02-43e9-0908-a1d5-1ca23f88e994,Landshare,sharing economy project,www.landshare.net,"health and wellbeing, energy and environment, neighbourhood regeneration, culture and arts",collaborative economy,"Utilizing UK land that is under-used as a solution to the large number of people on  allotment waiting lists.
","open hardware, open networks",crowdsourcing,46d67f25-8f86-fd6f-a30f-df9f7d926986,
1dc38ace-08db-a52c-16c7-ec9691b7baf8,Fixers,advocating and campaigning,www.fixers.org.uk,"participation and democracy, finance and economy, education and skills, energy and environment, health and wellbeing, work and employment, culture and arts, neighbourhood regeneration",open democracy,"Fixers started in 2008 as just an idea an idea given a voice by some 10,900 young people over the past five years. They have reached thousands of people with their work, on a national stage as well as in and around where they live. They choose the full array of social and health issues facing society today and set about making their mark. Fixers are always courageous and their ideas can be challenging and life-changing, not just for themselves.",open knowledge,"social media, mobile apps, online peer support, social networks",360d3c70-8cbf-eb59-f293-f52a7e34e2ce,
8bd3a2db-7412-b923-be66-f4956e154b3f,Program for Societal Innovation and Change,incubators and accelerators,www.ieconomiacivica.org,"neighbourhood regeneration, work and employment, participation and democracy, health and wellbeing, culture and arts, energy and environment, education and skills","new ways of making, funding acceleration and incubation, open access, collaborative economy, open democracy",ongoing ,"open data, open networks, open knowledge, open hardware","personal monitoring, sensors and internet of things, crowdfunding, open data, big data, social networks, social media",6aa7fff6-381a-398b-43cc-818df5d6d40e,
10a24b40-08ed-f590-fcab-0402eda39b84,Get-set,event,GetSetArtFestival,"culture and arts, education and skills","collaborative economy, new ways of making","We are the first festival with this subject, so the impact is always growing in our country and Europe","open knowledge, open data","machine learning, social networks, mobile apps, online learning models and moocs, 3d printing, personal monitoring, crowdfunding, open source, open data",5e4ef43d-9581-c0fb-4ed4-5cc9735302ec,11/1/2020
72c5f775-e22e-ea17-5a8a-6cb0a302c4c1,Apps 4 Ghent,event,www.appsforghent.be,"participation and democracy, digital makers, education and skills, e government","open democracy, awareness networks, new ways of making, collaborative economy, funding acceleration and incubation","Apps 4 Ghent was one of the first hackathons co-organised by a government in Belgium. It remains one of the most prominent and most widely attended hackathons in the country, with about 5-10 teams participating annually. Many students and businesses have benefited from attending this event and have gained recognition, bootstrapped their company or developed their idea here.",open data,"social media, open data, crowdsourcing, sensors and internet of things, mobile apps",27521418-c1d7-a804-c0ed-a6d732db4edf,
1347e62b-2fb8-123c-6cbf-024debc5bcfc,AsktheEU.org,delivering a web service,www.asktheeu.org,participation and democracy,"open democracy, open access","To make more citizens using their right to know, increasing democracy and public participation in decision-making. Several reports from the EU on access to documents states that since AsktheEU.org was created petition of EU documents has increased.",open knowledge,"open source, access to information",cff262f9-9de2-8dc9-e650-eb22e3d12e7a,
bb088186-7709-5ff9-659a-48dad106e700,Research on Technology Enhanced Learning ,education and training,www.celstec.org,,collaborative economy,,,,1f7505cc-0739-ff4d-5c6c-0d1942eec8fb,
f3b39b02-5b48-e7d1-d793-ff8a40655efa,FLOW,advocating and campaigning,,,awareness networks,,,,711e5982-5f79-7cbf-2db9-bae96cea9fce,
03a00550-5b84-ddf2-a6df-9e611552ac39,Communities of passion,research project,,"health and wellbeing, finance and economy, work and employment, neighbourhood regeneration, energy and environment, participation and democracy, education and skills, culture and arts","collaborative economy, awareness networks",Develop local adoption of digital technologies,"open data, open networks, open knowledge, open hardware","3d printing, social networks, big data, online learning models and moocs, open source, social media, crowdfunding, p2p   distributed exchange networks, crowdsourcing",98645bd5-a06a-a57c-faf1-c1e34095db3e,6/1/2019
e52d2511-1443-423b-520a-f7a5c2bae00b,XXX,education and training,,xxx,,XXX,open knowledge,online learning models and moocs,2e1aec05-8aa3-3cfe-0d31-3b7942b00e05,
5efe2cb6-032d-1cd5-5fc2-74eff6e50f3b,Working Actively To Change Hillfields Ltd,education and training,www.watchcharity.org.uk,"work and employment, neighbourhood regeneration, education and skills",open democracy," Black British is 12.9% because the HE project will look at working with young people from all backgrounds. Some of the direct benefits of these can be:
	Reduced antisocial behaviour within the community and wider
	Increase self-confidence and raise aspirations
	Motivate and inspire enterprise  
	Up skill and improve employment opportunities 
	Create better life chances and stronger relations with people within the community and of other communities 
	Improved ideas on how to deal with poverty(when communities get together)

","open knowledge, open networks","open data, social media, social networks",447304b0-10a3-9056-6f04-00bb7ec1ad4f,
0a527764-a8c8-88d7-bd42-9d9b2f49c837,Babele - create together ,network,,"participation, support for start ups","collaborative economy, open access","The platform is dedicated to entrepreneurs, with a special focus on social entrepreneurs. There are two reasons why we focus on social entrepreneurs : one because they are actors of social innovation which is the mission of Babele and the other is because they are often idealistic and need real help in defining their business plan in order to create their business.
Babeles impact will be two-fold: the number of business created through the platform and the evolution of the collaborative approach inside the business ecosystem.

In order to measure our future impact, we have established the following indicators:
	The percentage of ideas in the platform that become self-sustained projects after one year. We will compare this success rate with the average success rate of entrepreneurs in order to measure our own impact;
	The evolution of indicators measuring the intensity of cooperation on the platform:
	percentage of projects addressing requests to the community;
	percentage of requests answered by the community with a positive rating given by the entrepreneur (the answer was useful to him);
	number of people who join the team of a project thanks to their relevant contribution to the platform.
","open knowledge, open networks","crowdsourcing, social networks",caf9b72d-c536-abb6-367d-bee4e69caf66,
875fdafe-13f0-abff-b218-fb3348677b62,artist led projects,event,ridgewaysounds.wordpress.com,culture and arts,open democracy,engagement with and in the environment.,open networks,gps,29a21fcb-9793-93d6-4a21-6251a1fb7c52,7/1/2015
2bbbdcd0-27e5-07de-8106-14e38c08624c,Encouraging informal sharing of skills in community settings. Skills learnt and enhanced online & communicated to a wider community digitally.,education and training,www.startpointwoodley.co.uk,"digital inclusion, community, tackling isolation, neighbourhoods, health and wellbeing, routes to employment, education and skills, participation and democracy, skills","open democracy, collaborative economy, new ways of making","Winners if the Tech 4 Good impact in the community awards 2011 & NIACE Adult learners week award 2012, we were set up to tackle social isolation, particularly in the elderly, through the learning activities. We focus on the brain and hope the rest of the body keeps up. We support all our community regardless of need and access to additional services. In turn we bring people together who don't normally met and encourage peer support and help individuals become realise that they are exceptional.","open knowledge, open data","blogging, social networks, social media, youtube, vimeo, online learning models, communities online",161434dd-9e5b-d926-5e70-ef138cda6197,
d9c31b58-3b65-aefb-b12e-74c5a3d59f33,Open innovation platform,research project,,"education and skills, ontology, social innovations",awareness networks,"make and its strong relationship with design, and importance of related concepts including make for social good, open source, open design and open innovation.","open knowledge, open data","crowdsourcing, ontology",4446e1e0-db1e-5bbc-d62e-6a79d0e3187f,12/1/2017
9ae3134c-6d95-66cd-01da-90a503c87579,Epsi Platform,network,,"democracy, participation and democracy, open data",open access,"To engage stakeholders in a dynamic and relevant community which leverages the commitment and community building efforts of various key actors (multipliers), organizations and action groups to create a large cross European network in the field of PSI re-use and which combines online and offline community building activities.",open knowledge,open data,de6b9124-98b8-9697-f94c-d3a956621c8b,
74570aef-0bd4-585d-88e5-2c2728198a5e,"Disrupt journalism, knowledge distribution and societal networks.",network,www.pressformore.com,"crowdsourcing, crowdfunding, opensource, education, knowledge, journalism","open democracy, new ways of making, awareness networks, funding acceleration and incubation, collaborative economy, open access","Pressformore : a periodical, a web platform and a nonprofit organization.

Through this campaign, we lay the foundation of a larger project, an ecosystem entirely shaped by its users (i.e. crowdshaped).
If our goal is reached, it will contribute to fund the following three components: 

    The web platform 

As we said, this first edition is part of a wider media project, which aims to provide journalists and readers an environment for discussion and collaboration. For the public, Pressformore wants to be a source of knowledge, with which it will have access to better information, interact in any stage of its creation, deepen their knowledge and sharpen their critical sense. 
For publishers, this platform will let them propose topics of investigation on any themes they want and let their audiences free to crowdfund those ideas. Eventually, the platform will provide modern and effective tools to experts, journalists, technicians and bloggers to collaborate and produce quality content. ","open knowledge, open data, open networks","crowdsourcing, online market place, p2p   distributed exchange networks, big data, open data, crowdfunding",c5683421-4210-e1a9-a201-ff7ce987e3fd,
60e7e271-8e28-a9d4-8382-b52d6c8fcfef,Promoting UK startup communities,advocating and campaigning,,"work and employment, participation, technology, education and skills",funding acceleration and incubation,"Help shine a light on the tremendous talent around the UK, connect the various clusters and provide access to the tools needed to advice ecosystem development.","open data, open knowledge, open networks","open data, social media, crowdmapping, big data, crowdsourcing",ba3e04fd-e994-6f66-3d18-0ecc1ff1210b,
6620902c-ccf5-fec1-97f0-533c470cbe88,OpenAlps,delivering a web service,,education and skills,awareness networks,community in which the SME is set up.,open knowledge,crowdsourcing,209625db-90b1-e219-f8c0-db33d287888a,9/1/2014
392a3b86-971c-73ca-bb0d-bd8af32f0071,CAP4Access,delivering a web service,,"mobility, health and wellbeing","awareness networks, collaborative economy","Using the power of online maps and mobile devices our aim is to empower people with mobility impairments, raise awareness for the barriers they encounter and show possibilities for eliminating those barriers. ","open knowledge, open data","social networks, mobile apps, geotagging, crowdmapping",02f0f467-5132-5656-af0e-cb5388025ac7,12/1/2016
dc70c0e2-c378-fd11-f6d3-86fecedf4a6b,DataGM - The Greater Manchester Datastore,delivering a web service,www.datagm.org.uk,"neighbourhood regeneration, energy and environment, health and wellbeing, participation and democracy, finance and economy",open access,"DataGM is a platform that allows citizens, businesses and the public sector to access public sector open data from the Greater Manchester region.",open data,open data,c367ecf0-4ecd-f11b-87bb-d13723770435,
